River_ID,River_Name,Country,Continent,Population_2015,Population_2060,Waste_Generation_2015_tons,Waste_Generation_2060_tons,Plastic_Waste_2015_tons,Plastic_Waste_2060_tons,Mismanaged_Waste_2015_tons,Mismanaged_Waste_2060_tons,Plastic_to_River_2015_tons,Plastic_to_River_2060_tons,River_Length_km,Basin_Area_km2,Urbanization_2015_pct,Urbanization_2060_pct,GDP_per_capita_2015,GDP_per_capita_2060,Policy_Strength_2015,Policy_Strength_2060,Waste_Collection_Rate_2015,Waste_Collection_Rate_2060,Risk_Score_Change
11,River_10,Philippines,Asia,17669187,30549811,19549.70195735945,18610.85478864528,2351.7178797728156,5261.295233672648,710.2767308242934,1390.6825005181583,187.95352568366692,310.0857609318529,1647.3050857813712,112910.38542081934,62.73075328085215,71.28948959330415,8472.292604902059,18388.592820448168,0.6496328990472147,1.0,0.6603290246102403,0.8524061754441082,122.13223524818599
12,River_11,India,Asia,4401754,5974945,3368.232582752506,5042.791699759638,992.2884290511063,1152.8807435927333,651.7535186661913,521.6271760984748,220.58167099429863,91.62865067462563,1463.4145173345798,246766.32921561308,31.71457926788267,47.55136099680525,7378.922879800967,9087.960789120345,0.6454722959071678,0.8163165676699874,0.8583210090470399,1.0,-128.953020319673
13,River_12,USA,North America,3544084,6090316,4422.020143069442,9458.698319079534,734.7189162228175,2464.492160392511,388.6053159515166,1459.3062331398498,47.644518281459256,184.49170308150687,517.7320263183478,134968.95358818825,49.11679245657894,59.707095462989685,10169.940936832068,23365.206237267797,0.9300168348108319,1.0,0.3462431023307521,0.5640289815367647,136.84718480004761
14,River_13,Nigeria,Africa,17982750,26305719,24768.955609212444,35269.88250266051,5929.765950448066,10245.788595841965,2631.6091403305322,3252.3897070873354,902.1375784087744,821.3206019614037,2174.327180521254,456707.0357256792,50.68054393165627,63.20328835196426,20058.231884685993,41018.143673912324,0.7019668772577033,1.0,0.8230037392722964,0.9575025284851804,-80.81697644737073
15,River_14,DR Congo,Africa,2603771,3919210,2443.5717057649276,4985.337549710298,404.7300852590011,902.3875911846677,280.37124415237815,483.2947910755296,100.40693840838675,54.40103430299687,145.14509935208685,152329.4918219382,52.22494563179933,62.12471425873994,20782.790592795922,32275.794134725686,0.9652518303907698,1.0,0.7894161525083869,0.8880111610071052,-46.00590410538988
16,River_15,DR Congo,Africa,6854350,10896076,4375.495519013957,7984.049809411489,1285.9903954167623,2338.6800524785895,406.92209147587073,840.8218051839061,93.61495871794239,198.4429098142755,664.6082919993199,92982.50349135365,24.85237799703186,36.27709512113347,17368.247568751478,22155.834088320134,0.9152137276264805,1.0,0.36785115141018226,0.4413194739305052,104.82795109633312
17,River_16,Indonesia,Asia,13751544,21481811,10725.295300943599,33401.32208966869,2655.361996737939,8713.429965379584,1446.3446078881304,3205.1482960492963,252.12577505035011,445.4937209072635,1906.7229706377043,8182.350826248178,26.964358430414975,32.654398060741265,1497.8556568147683,3463.19020560356,0.7036578593800237,0.9933273910149538,0.268483912455701,0.44138788123490913,193.36794585691337
18,River_17,India,Asia,11070723,13520024,10338.41293180676,13499.807973166115,2307.2238167321752,3739.6996623129558,733.9777411554638,1308.3153998293064,211.20794828025166,229.98099881967252,2148.4001109113897,329688.12217785354,29.77606562488578,35.83459683589223,16239.272316054732,20046.808488008835,0.5857755812734633,1.0,0.6028319245131153,0.7498744060647458,18.773050539420865
19,River_18,Vietnam,Asia,11538459,13730192,15129.275633897123,19505.65276474385,3406.9303232211782,6126.440141406999,1909.904386710005,1731.7837718613612,347.962306328596,179.4946773753124,974.2847539085409,20442.60302280658,57.09523306027357,67.14354628360446,16565.204566828183,28177.671505550425,0.6816136689727897,0.9178634967584858,0.38248616976513217,0.5564955333384838,-168.46762895328362
20,River_19,Vietnam,Asia,6218900,8357179,8934.371191575457,5341.79454638085,1640.2541162361358,1834.992484616134,851.6014897025776,677.8248955587109,230.40596514053678,131.48524854643708,1842.5370004841186,64717.17498181033,35.00098695296628,48.709147138124926,21744.35687663819,41975.88708435737,0.23859685979034018,0.6105347717504386,0.7179361323131621,0.827495170414157,-98.9207165940997
21,River_20,Philippines,Asia,11820477,20470548,11882.562547715328,29200.3660299169,1948.858135295049,9609.976116563927,888.0569837371401,1963.65505206691,330.0149345063726,142.99663861771808,832.3184120965165,475080.92155835166,77.03642881625336,90.63799713810266,15980.011698160082,28492.028131153467,0.29321077169806453,0.5246765898460309,0.6707629192539268,0.9088565516133469,-187.0182958886545
22,River_21,Philippines,Asia,10908470,17965238,6691.960207169271,27503.505744799368,1973.1220694005713,9603.84598904117,636.0328641548803,4752.119588155457,167.7693976810946,1076.154884526967,2423.1972627366304,344326.9750773445,70.21783245424243,88.22086303390505,21042.778712217634,36907.3276614089,0.22257641757103053,0.4812370583527313,0.8243278361437436,0.91097904156675,908.3854868458724
23,River_22,Brazil,South America,9826290,14807371,13394.594427235328,21920.239269177404,1973.5198779841498,7267.408535633927,1059.2976400427542,2471.5533372886284,330.98216476545736,421.1940797555491,976.0695957995234,352837.0977840333,34.923449265817275,44.87723720110375,11144.070189962647,17048.051765015116,0.4052020867814171,0.7337912968634214,0.7186817026374679,0.9604804159146108,90.21191499009177
24,River_23,Bangladesh,Asia,10742302,16698341,13385.390398622716,19760.29516834127,3914.350078296168,4445.554935514298,1621.6558744118754,2433.6730436252883,270.9442389499234,707.7258344934924,79.77846299005003,484969.53452711186,22.589594717034565,40.95674142250563,13428.677172614347,33448.8774052512,0.07379656473539886,0.3953382784959272,0.8785117749333693,1.0,436.781595543569
25,River_24,USA,North America,18992008,23773557,15089.035394326027,37938.58815664912,3612.0889064569515,8606.003233442683,2148.6159849439487,4871.87337621925,832.8265937026183,314.07006454347436,1016.5784065899181,54271.276902006306,40.13960388781779,47.684802446251275,16347.784860883734,27868.86824573473,0.22939474570494967,0.43576991569064527,0.45224156664368775,0.5672290323572534,-518.756529159144
26,River_25,Nigeria,Africa,597562,949354,619.1318168653253,863.4636806318903,162.6824595079558,247.76765179413604,59.38670731249993,139.83284614182045,20.59300428098266,40.19494859230703,1828.012795551482,307094.18277195917,45.09458217743713,64.08550942774733,21718.565292760006,27338.98838221097,0.026366974497252005,0.27695232124847186,0.767387331547283,1.0,19.601944311324367
27,River_26,Indonesia,Asia,8601424,11729910,10748.152779293387,11647.67686747161,2857.2120225848103,3072.846942942469,929.7503120078069,659.8285739479692,130.30974596611912,35.246716961114565,234.62969786353267,346165.4841872871,52.06077650176778,68.30943774381737,22872.56093031225,44846.1019472702,0.7261208440718481,1.0,0.4644953844930505,0.5747665925754585,-95.06302900500455
28,River_27,China,Asia,8347752,9937260,12138.057370901053,11986.070947943354,1768.8616352190656,3408.121054005644,968.0118226422945,1169.888970836173,129.77870980423944,254.91096720011373,1324.7538672142937,386386.87747608405,51.209810066719605,68.9925325714977,14021.717549974896,27050.96899987243,0.876653602658345,1.0,0.2938106599154485,0.35100632899378326,125.13225739587429
29,River_28,China,Asia,14781316,22677741,17797.883541481344,18436.190696981248,2265.213082322793,2819.0582505225684,997.2261345801638,1229.0165790072106,217.06941733008446,195.86681196712294,2265.188801509684,174779.47804462689,50.83936934958865,67.5941645407058,10215.298166871118,20519.59926725985,0.8623637087467452,1.0,0.30295143665032653,0.5845983429407001,-21.20260536296152
30,River_29,Vietnam,Asia,14242224,18241028,13660.226286754714,28821.418446694497,2711.8775560539516,6218.230312028356,1500.6454911389565,1840.9583688006178,184.2177374946142,151.3634690950574,363.7123054465425,76799.44406263488,28.329630358964607,42.942751531012824,4956.062067779048,8174.36754557458,0.8967884099060118,1.0,0.667290416964719,0.7603703847651265,-32.85426839955679
31,River_30,Vietnam,Asia,7857202,13162804,6639.984913491312,12473.325986869524,706.2350123971098,3239.8598831764116,362.84193963267103,1109.316988093376,133.62205179991986,91.17154576057064,858.7438076098807,161469.79957533447,25.537435173724766,37.754616084569165,17350.725568854035,32361.777238294195,0.15697768271619372,0.40789206881302276,0.2018165170685526,0.4688917938274493,-42.45050603934922
32,River_31,Nigeria,Africa,15252994,18748442,10819.700972758903,18194.83993180226,2130.4488601149583,4979.035310783681,953.5153151954004,1916.9977357928362,309.1690276717432,113.43029101036817,668.4705136428508,356961.4433563917,73.71241026123195,86.38757189296695,13536.780389000234,18130.12964256047,0.44741236682345464,0.7604592734054639,0.3697293525443108,0.48704016028165603,-195.73873666137504
33,River_32,USA,North America,9910404,12165999,10544.323903803845,17527.676247480926,1242.5522574926465,4505.789127087478,488.67910871000976,1519.220279997971,118.3536734310869,210.831428764016,1639.615958714361,240311.46877537086,55.05196908285016,71.10430621377385,14164.685515785717,27798.139587527497,0.5644585425226413,0.815967592903157,0.43621278371034267,0.7111246329965957,92.4777553329291
34,River_33,USA,North America,2100609,2669973,2096.9280983307644,2484.0053256110455,601.2697339178318,376.3438784716827,234.5752367047785,130.26869671122216,57.78595351796402,34.22215713245906,265.3246801233525,403126.57848383056,23.33920936141852,40.97391989089124,1765.0692079255646,2159.942064429638,0.6969614623664215,1.0,0.8276271840818146,1.0,-23.563796385504958
35,River_34,Vietnam,Asia,14415594,24590912,18986.37624354401,21096.612924413334,2547.5448302622603,5985.713377717819,1711.3142476674202,2530.191914315705,464.5941066579417,303.6098054549579,1935.2576863202455,94334.83053020416,39.42075418425462,50.80230076350087,12936.454277769148,19600.444279159095,0.11483682473920354,0.4590848417158566,0.40204138726817906,0.5973509426238321,-160.98430120298383
36,River_35,Bangladesh,Asia,10093726,14502646,10422.674802671188,9453.166009003622,1743.9308660277388,1672.103752380686,567.3878866647441,996.5472381908905,111.6086887240132,251.5968974839981,673.8696041712215,341069.8583897407,65.61367159338118,79.54825270249884,12053.61661947888,20917.764176925615,0.3488682665429953,0.8206799242421257,0.7814335854514103,1.0,139.9882087599849
37,River_36,India,Asia,14061076,22660931,20224.614477235333,17703.46860729846,2291.4337220571815,5279.601520880212,1213.976942199403,2833.728500213523,172.3018269341582,705.0793367370679,543.9869341169741,82664.31548998655,29.855947875859577,47.07456867933031,16797.331907056905,31578.73290210667,0.3588304841235025,0.8097107004487458,0.4747115751958448,0.728861435063739,532.7775098029097
38,River_37,Bangladesh,Asia,7121862,11392470,9968.238391263407,13945.540119045258,2072.957099977216,3315.5373123859026,1100.7288361588523,1134.3944498471121,239.34757787761848,207.55376575934005,213.2168253575016,115283.67007147337,52.570958636804534,64.04388078385117,8653.986754855865,18603.59542566184,0.6937176074033384,0.8604099114006917,0.8150403807614068,0.9888962873623983,-31.793812118278424
39,River_38,Philippines,Asia,14134150,21218265,21168.61208735999,28695.64778781055,5110.020236217124,8772.672396266193,1825.560831873806,2472.295561774538,573.6263091739847,428.93183764683135,1898.8564650572855,52355.099341328365,52.188881089075686,62.87120457242942,11696.50537240112,23219.261890901464,0.5022883474625301,0.8182326023076648,0.5404502373969254,0.6926890316682988,-144.69447152715338
40,River_39,Indonesia,Asia,5625633,6236251,6179.435508509266,7268.402596501243,1503.0600318221498,1961.0577075407882,948.0093185215367,1144.5319487033114,192.21578813963163,122.27921334689671,1087.812312930183,144676.87862138732,56.89701578915927,75.57480192180374,3908.346756505016,5202.138445507475,0.2560155318536622,0.6464537662786225,0.6150740336811751,0.690627199737475,-69.93657479273492
41,River_40,USA,North America,5848035,9667148,3058.6544985892715,12097.152030970601,777.6608682969041,2720.493123301716,254.7372941485395,628.2391954397862,33.44040643142373,163.41123932476205,2281.181185726497,62282.580141021164,34.15436207570487,41.637169731214215,5064.861547605957,11592.141218927914,0.33214641265493894,0.5567241182731955,0.3591769346139788,0.5611505330625435,129.97083289333833
42,River_41,India,Asia,18592846,21164852,15528.693693547022,29691.18561726652,1567.2552226386904,6434.075004567258,719.7893526002592,2669.8724474843475,270.60961884706194,364.6685292877796,900.0353446457578,369013.12280676444,47.133076453388426,55.502148797488154,11584.768145250988,16023.056473851324,0.1763869865062233,0.4757340956020152,0.4932478146531835,0.7719592899202086,94.05891044071768
43,River_42,Nigeria,Africa,13066064,21511275,10160.003763155026,17641.33669883235,1448.1678901670268,4463.870982768033,999.5494106113331,1712.32124656129,267.071216962507,454.0356847543695,1360.9208113874636,93046.97283800918,37.97575470598862,47.624808600017786,10234.293828711148,17959.400572518745,0.7997820220742694,1.0,0.5277622799089655,0.7340062766717286,186.96446779186255
44,River_43,Bangladesh,Asia,11807868,16890527,12573.503542535384,11244.16974839785,3207.570201423286,2705.996782851734,1635.0785011515766,1018.2803866566422,360.0915695830415,193.38171257112796,430.3386025302456,91782.13711714029,71.70713726081104,90.89886919281552,9646.078248853948,14970.405492008775,0.6439995432390158,0.9074932116782544,0.2177704489622414,0.306808598303789,-166.70985701191356
45,River_44,India,Asia,11584508,16051368,12183.688818562585,13706.079572450646,1696.2450778380125,3441.6181789732086,912.6130845071517,1155.3804707863299,247.16579001034052,314.1076510619951,1413.967882719247,360685.7350589428,68.31889804147431,88.14982977080595,15278.336353336,34359.52997536974,0.9626493185548747,1.0,0.2987572941443995,0.45035537121278,66.9418610516546
46,River_45,Philippines,Asia,15894998,27457577,8154.164548199303,18822.403270093433,1154.4442011738604,2923.240458705489,430.11609472290723,1266.3963637944607,97.39005404865118,345.9388704322381,2052.73672625918,171566.85849724011,35.56540600587755,46.260792128386555,14962.226091612789,23168.74875114793,0.624148907849134,0.8879135687256302,0.5864330265963862,0.7454646588802154,248.54881638358694
47,River_46,Nigeria,Africa,3366402,5938054,4253.805072671006,4394.832003812687,1164.2392035324733,1087.6604465166488,765.8608699226928,565.5204592362679,174.2824023229745,31.45273635179192,708.259530493118,271275.4731157726,58.00869318956884,66.87700847106687,3914.2238147841913,8945.603539273217,0.9844021807035521,1.0,0.32017550009381246,0.4382523317236547,-142.82966597118258
48,River_47,Bangladesh,Asia,11978474,20073631,12333.775646566242,28405.280440666844,2462.0454857433983,4642.419280763966,1137.7093360169051,1852.2601022789713,359.5852938856526,141.96588750617389,393.04541971810005,132578.2175146736,35.98990360225294,51.97267227913888,6642.901183759145,13438.771657377629,0.4942738501382714,0.8235916014100317,0.7866748742248071,0.9377702496120632,-217.61940637947873
49,River_48,Indonesia,Asia,14242073,19873748,12160.898477595805,30975.763747874265,1664.5130574791285,5206.015831891742,1012.6803733183126,1183.3267850164875,355.57607677244937,188.50200328628839,2293.008509365189,361044.8976998309,56.62428002047746,75.86388197634395,10217.90963977533,24934.897905598034,0.13500127742120693,0.428503254194172,0.3889378556745364,0.5738985504015848,-167.07407348616098
50,River_49,Vietnam,Asia,5803394,9802343,7813.7352342650065,15244.959783370805,1023.0869548222095,4187.279901548124,501.0004880551993,1414.2684121532059,102.93658649529405,216.6636404485842,1777.067596737935,299544.74307580915,47.58089076566787,53.719891921212195,2405.2509299344483,2893.615983842911,0.9676993882070865,1.0,0.2721656222096214,0.40081476141197414,113.72705395329015
51,River_50,Bangladesh,Asia,11880026,20696424,7565.421892601665,32084.369575313347,1431.3865570527357,6000.6300981806935,739.6838596484301,3295.4160423727303,236.45286499786033,829.2594385729328,1664.0192484412576,346446.0056944084,70.95173909391916,79.69675922680695,12490.911609256942,18581.133791480563,0.987668007996647,1.0,0.22759876795795414,0.45399256108687625,592.8065735750724
52,River_51,India,Asia,14588262,26252269,15402.383031329915,28174.20071339293,2503.9803697551547,4905.255572054051,1483.3816801896976,1358.950096097873,199.6403395310081,211.2361065477123,1998.5875029997887,372787.20951198996,23.292956878788495,35.12011215433084,13299.647113743638,27103.492438661866,0.6501673504432282,0.8960462502261505,0.5924740358024598,0.7627395067634815,11.595767016704201
53,River_52,Bangladesh,Asia,9488162,15061528,7968.869715975542,19953.011822850043,901.0502045854879,4251.1501411004165,464.7585571224011,2194.823185730694,90.91874171479893,453.17138547474605,2220.6454831786587,308315.73090296995,33.97756848521803,39.3435802085661,21817.42241057278,26784.163729918328,0.8747016726841994,1.0,0.8573473889590273,1.0,362.2526437599471
54,River_53,Bangladesh,Asia,7285197,9802219,9231.71632095618,9821.146238067873,1809.1867512933313,2705.736519601008,1175.0140493456454,1606.2155362994758,388.3210214434297,248.0666508317264,1082.3246555788219,369053.56849285687,34.32662874609814,40.98374044306906,9188.242862199026,14456.87953389295,0.2963081204559901,0.4897512208759541,0.22946523274545333,0.28393371642880677,-140.25437061170328
55,River_54,DR Congo,Africa,14476941,16381678,8823.226467489229,16244.565657426858,1101.910796567189,5543.996367573586,682.2984588162074,1683.1188254127294,188.70073888908271,497.50068694780356,2216.2874964221824,300798.4247746568,74.22343803051623,94.06121167771661,18712.144160893793,24035.418574638174,0.40158023642548746,0.8367105305387856,0.36139843706351327,0.6190590665011695,308.7999480587208
56,River_55,Bangladesh,Asia,13634573,17199589,9224.170838925438,14112.025576175089,1266.3647600787376,4317.107042378866,557.2639439524941,963.3066190125259,217.74018052535052,261.004529144404,2322.993093828272,497459.0035005712,30.433714953169236,41.37734523670912,19076.84265475024,40153.449745296755,0.15389590633985506,0.5802291563361022,0.3571084002856625,0.4630628039913183,43.264348619053465
57,River_56,Indonesia,Asia,15627000,23675810,16878.507169881475,16371.51097973014,4649.896609227599,3325.3814496510795,1635.8613800951955,1847.246841213941,632.5801516447693,490.5029714899233,2033.3143830759514,327965.74833887187,53.05144223654836,59.35624363521951,10507.103720232119,17699.16443894278,0.2597537837603262,0.6491218292357602,0.5471130145551395,0.6173745685320515,-142.07718015484602
58,River_57,Indonesia,Asia,6255579,7360490,8723.279372085293,11714.038289581777,979.6539784134792,3825.5853119948692,496.1277397453718,2152.295290490583,134.6469265730199,463.87990480693225,1382.2583245936282,432381.9472733669,64.03459513722211,76.85349981992833,21769.9396992629,33065.73425930579,0.15734065970252598,0.3215007018345548,0.4338062151216665,0.5434787229469209,329.2329782339124
59,River_58,Vietnam,Asia,1830228,2884619,2047.3138655280204,3902.072120084123,269.67427279481035,1272.755064186113,174.9477895726661,269.44086387559054,60.83722348828271,22.152745298674013,871.0411929348976,372010.61988951225,29.645593762898493,46.915099124684424,20887.287359964677,38844.25652722203,0.00638587171683358,0.2212011249867987,0.6318488428630196,0.9271453873698754,-38.6844781896087
60,River_59,USA,North America,8651646,11798135,4404.314233424129,16737.7713247789,553.5771268149981,3459.171593628427,170.15360348164236,1289.9123352251504,59.9002706643135,190.95578799041883,489.7684423883918,377095.7181912091,67.32841891224466,74.93472104185815,19385.92565925425,47136.63116168279,0.16637758693227234,0.5747713039451265,0.6960004032218405,0.8643938753306126,131.05551732610533
61,River_60,USA,North America,13985461,21462659,7632.45392994558,31583.092676397555,2249.2673347058967,10857.495720579092,1349.2471514284896,2736.463462325643,441.85005228493793,153.64347275147298,104.20270124604328,162481.49935562108,49.318591424279944,65.87470269139683,17240.736726859377,30682.882588597528,0.2736266662816659,0.7724764663447503,0.49832691156518105,0.6611736676475999,-288.20657953346495
62,River_61,Bangladesh,Asia,15504302,25680809,18507.209720548384,21078.027659032115,2155.6496296969312,6030.420771071388,1211.0536315881263,1865.2321252155352,466.56939422126726,163.70111439004347,1109.2202625543746,471864.34416363185,45.18363901556734,59.76152823052862,10241.06275008846,15940.006922671366,0.9839776479598282,1.0,0.8258694425753941,0.9333580940481656,-302.8682798312238
63,River_62,Brazil,South America,9408092,11668399,12871.425296617757,15343.058355771867,2735.822183925596,3748.4087637644843,1415.2219996242038,988.449001136153,228.00694676043554,71.9503124270793,426.4621934947261,227393.12366803605,51.821263623695366,57.08919201087016,20021.546782668673,31682.46333153946,0.9118360349599111,1.0,0.329821212273658,0.49534553496507316,-156.05663433335624
64,River_63,Bangladesh,Asia,5390717,6372451,3370.199678184756,8192.201800167546,627.0633255207101,1557.3780754356526,311.4233621712257,351.47465142626703,85.51418341862771,41.20982333626106,2004.019796561111,155870.61750286332,47.31320894490807,52.48751704352958,2274.9487509666924,3890.7120448428523,0.4799388347171235,0.819947053964845,0.4041638050965123,0.627909276628148,-44.30436008236665
65,River_64,Nigeria,Africa,3310016,5848315,4659.902266477607,7744.837631795316,1164.1942306489902,1387.7541988287005,397.1263989006565,594.4608875915187,41.90092194441905,101.40854505772404,565.356470801228,173662.26725477495,66.54828414757736,85.66684671106316,2274.198667585367,4308.503188001789,0.8825334858196,1.0,0.7771598328277836,0.9166101705598514,59.50762311330499
66,River_65,Vietnam,Asia,7754502,9250353,8278.247642925948,11928.006145653813,2153.3157552641205,2266.6795905293134,790.2518798235458,548.1446339105479,229.90724830588277,124.2199513109901,127.38605482282298,468169.9108756012,23.118277019088346,36.237722048604404,17871.982726547452,41682.10794728701,0.7140869321324278,1.0,0.4376151347799643,0.6913214132165924,-105.68729699489268
67,River_66,Philippines,Asia,8646310,13510499,9104.576989560377,16178.49644461283,2337.7504648611825,3982.8346521515423,739.4343116434268,1057.8400567582435,171.23979872637707,244.57964514717625,1503.532688359938,325496.7987508535,48.75673571457724,62.99286604371088,8560.927226459224,15505.871318742356,0.7442790655949556,1.0,0.5035587337694722,0.5644741481963126,73.33984642079918
68,River_67,Indonesia,Asia,3003633,3347857,3463.9788622608794,3121.256044697479,722.2247916980897,776.1170746512712,240.21961828337803,280.41462609638154,39.91689459943569,43.352086379330295,548.7667868384946,420385.7507321898,30.451600194695217,49.86330846699987,10689.730470600049,24587.650873527284,0.6287648182059451,1.0,0.7374067216467461,0.9136179421200006,3.435191779894602
69,River_68,Philippines,Asia,18302161,31240362,19742.09099443272,32446.72167426455,4837.829644708274,8025.17058912294,3141.538026839902,4496.348561277133,711.6095012301292,535.9959950186922,1501.2583050537376,456269.3094627288,32.63973134033999,46.984230093792235,15973.225392266753,34391.10387927885,0.1315676851272598,0.5178976710000952,0.8363227644659488,0.9312435416835093,-175.61350621143708
70,River_69,DR Congo,Africa,13707851,18656303,13880.7783532956,18899.416542673353,1580.001211730008,4487.346637658795,535.5530348186459,1624.4568159057426,148.8170780107824,316.5314614142596,1673.4221335703849,48535.49246935852,59.12739473182627,68.80961558227298,10276.625680359222,23794.31545802554,0.009030404129550251,0.3443954574657925,0.6190997860700753,0.7682647301559657,167.71438340347717
71,River_70,Philippines,Asia,11493942,16294417,8460.121334777383,10974.236849138864,1133.2466283933818,2786.960011264001,492.73707389746056,1481.4179201394961,112.96798466615839,166.1833411084184,1562.0052171798736,353681.83122583746,30.02251447405699,37.53680271838176,1398.4499598718028,3016.907730789641,0.6638045276218051,0.9536568779217307,0.7909193142784379,1.0,53.21535644226002
72,River_71,DR Congo,Africa,4754798,7087968,4944.5422058534405,4495.102590968243,1470.203237704405,784.8186686522334,576.9847376252012,173.19279092141727,168.48005693244426,18.3887955368773,491.0255718081726,45189.23652739746,26.19853742744094,39.96859793407977,17361.09271373159,29801.924756063047,0.4798970815920732,0.8542841759852668,0.21216585312983577,0.3429485173974054,-150.09126139556696
73,River_72,China,Asia,18773436,32056445,17923.74757639149,35762.04273236916,3544.7672992605976,10133.992024866058,1261.4426702425349,2148.2992532637413,242.67505735477943,485.8812517573025,544.5409577012235,337042.78422913374,78.19472276643623,84.60323350327751,16978.751896515594,30169.12461669442,0.8681422543775054,1.0,0.6848381665583152,0.9443669889703428,243.20619440252307
74,River_73,Brazil,South America,15392361,17120325,11454.183731353029,24497.082550857183,3126.0960656913553,7439.8588455629,1079.2656838699409,3855.365719353586,405.3757946354917,771.6606462300286,2355.144623028259,413592.60297222686,60.01829101945444,73.67606957013066,9040.054847428277,12720.023230866125,0.6049539226905408,0.8321985441377886,0.8065070672693517,1.0,366.284851594537
75,River_74,India,Asia,10527148,17345264,11232.638097813278,23215.7548850555,3096.873282460395,5358.8477620818985,1334.1740889476175,2502.782080499617,456.75954597461435,602.0974979125182,2004.6434397036544,218356.07409165357,69.0700529705013,75.87318880106042,13839.982900040814,16711.589171716463,0.3245858299002703,0.5711704438488294,0.4773208841264788,0.7011876857989443,145.33795193790382
